CLASS           RARITY          EXPANSION           MANA AND NAME
WARLOCK         RARE            GvG                 2 Mistress of Pain
WARLOCK         RARE            GvG                 4 Imp-losion
WARLOCK         RARE            GvG                 4 Fel Cannon
WARLOCK         RARE            BM                  3 Demonwrath
WARLOCK         EPIC            CLASSIC             4 Pit Lord
WARLOCK         EPIC            CLASSIC             5 Bane of Doom
WARLOCK         EPIC            CLASSIC             8 Twisting Nether
WARLOCK         EPIC            GvG                 5 Demonheart
WARLOCK         EPIC            GvG                 6 Anima Golem
WARLOCK         LEGENDARY       CLASSIC             9 Lord Jaraxxus
WARLOCK         LEGENDARY       GvG                 9 Mal'Ganis
WARRIOR         BASIC           CLASSIC             1 Execute
WARRIOR         BASIC           CLASSIC             1 Whirlwind
WARRIOR         BASIC           CLASSIC             2 Fiery War Axe
WARRIOR         BASIC           CLASSIC             2 Cleave
WARRIOR         BASIC           CLASSIC             2 Heroic Strike
WARRIOR         BASIC           CLASSIC             3 Charge
WARRIOR         BASIC           CLASSIC             3 Shield Block
WARRIOR         BASIC           CLASSIC             3 Warsong Commander
WARRIOR         BASIC           CLASSIC             4 Kor'kron Elite
WARRIOR         BASIC           CLASSIC             5 Arcanite Reaper
WARRIOR         COMMON          CLASSIC             0 Inner Rage
WARRIOR         COMMON          CLASSIC             2 Battle Rage
WARRIOR         COMMON          CLASSIC             2 Rampage
WARRIOR         COMMON          CLASSIC             2 Slam
WARRIOR         COMMON          CLASSIC             2 Cruel Taskmaster
WARRIOR         COMMON          CLASSIC             4 Arathi Weaponsmith
WARRIOR         COMMON          NAXXRAMAS           4 Death's Bite
WARRIOR         COMMON          GvG                 1 Warbot
WARRIOR         COMMON          GvG                 3 Ogre Warmaul
WARRIOR         COMMON          BM                  4 Axe Flinger
WARRIOR         RARE            CLASSIC             1 Upgrade!
WARRIOR         RARE            CLASSIC             2 Commanding Shout
WARRIOR         RARE            CLASSIC             2 Armorsmith
WARRIOR         RARE            CLASSIC             3 Frothing Berserker
WARRIOR         RARE            CLASSIC             4 Mortal Strike
WARRIOR         RARE            GvG                 4 Screwjank Clunker
WARRIOR         RARE            GvG                 5 Siege Engine
WARRIOR         RARE            GvG                 6 Shieldmaiden
WARRIOR         RARE            BM                  2 Revenge
WARRIOR         EPIC            CLASSIC             1 Shield Slam
WARRIOR         EPIC            CLASSIC             5 Brawl
WARRIOR         EPIC            CLASSIC             7 Gorehowl
WARRIOR         EPIC            GvG                 3 Bouncing Blade
WARRIOR         EPIC            GvG                 7 Crush
WARRIOR         LEGENDARY       CLASSIC             8 Grommash Hellscream
WARRIOR         LEGENDARY       GvG                 6 Iron Juggernaut
